date,day_no
1/1/14,1
1/2/14,2
1/3/14,3
1/4/14,4
1/5/14,5
1/6/14,6
1/7/14,7
1/8/14,8
1/9/14,9
1/10/14,10
1/11/14,11
1/12/14,12
1/13/14,13
1/14/14,14
1/15/14,15
1/16/14,16
1/17/14,17
1/18/14,18
1/19/14,19
1/20/14,20
1/21/14,21
1/22/14,22
1/23/14,23
1/24/14,24
1/25/14,25
1/26/14,26
1/27/14,27
1/28/14,28
1/29/14,29
1/30/14,30
1/31/14,31
2/1/14,32
2/2/14,33
2/3/14,34
2/4/14,35
2/5/14,36
2/6/14,37
2/7/14,38
2/8/14,39
2/9/14,40
2/10/14,41
2/11/14,42
2/12/14,43
2/13/14,44
2/14/14,45
2/15/14,46
2/16/14,47
2/17/14,48
2/18/14,49
2/19/14,50
2/20/14,51
2/21/14,52
2/22/14,53
2/23/14,54
2/24/14,55
2/25/14,56
2/26/14,57
2/27/14,58
2/28/14,59
3/1/14,60
3/2/14,61
3/3/14,62
3/4/14,63
3/5/14,64
3/6/14,65
3/7/14,66
3/8/14,67
3/9/14,68
3/10/14,69
3/11/14,70
3/12/14,71
3/13/14,72
3/14/14,73
3/15/14,74
3/16/14,75
3/17/14,76
3/18/14,77
3/19/14,78
3/20/14,79
3/21/14,80
3/22/14,81
3/23/14,82
3/24/14,83
3/25/14,84
3/26/14,85
3/27/14,86
3/28/14,87
3/29/14,88
3/30/14,89
3/31/14,90
4/1/14,91
4/2/14,92
4/3/14,93
4/4/14,94
4/5/14,95
4/6/14,96
4/7/14,97
4/8/14,98
4/9/14,99
4/10/14,100
4/11/14,101
4/12/14,102
4/13/14,103
4/14/14,104
4/15/14,105
4/16/14,106
4/17/14,107
4/18/14,108
4/19/14,109
4/20/14,110
4/21/14,111
4/22/14,112
4/23/14,113
4/24/14,114
4/25/14,115
4/26/14,116
4/27/14,117
4/28/14,118
4/29/14,119
4/30/14,120
5/1/14,121
5/2/14,122
5/3/14,123
5/4/14,124
5/5/14,125
5/6/14,126
5/7/14,127
5/8/14,128
5/9/14,129
5/10/14,130
5/11/14,131
5/12/14,132
5/13/14,133
5/14/14,134
5/15/14,135
5/16/14,136
5/17/14,137
5/18/14,138
5/19/14,139
5/20/14,140
5/21/14,141
5/22/14,142
5/23/14,143
5/24/14,144
5/25/14,145
5/26/14,146
5/27/14,147
5/28/14,148
5/29/14,149
5/30/14,150
5/31/14,151
6/1/14,152
6/2/14,153
6/3/14,154
6/4/14,155
6/5/14,156
6/6/14,157
6/7/14,158
6/8/14,159
6/9/14,160
6/10/14,161
6/11/14,162
6/12/14,163
6/13/14,164
6/14/14,165
6/15/14,166
6/16/14,167
6/17/14,168
6/18/14,169
6/19/14,170
6/20/14,171
6/21/14,172
6/22/14,173
6/23/14,174
6/24/14,175
6/25/14,176
6/26/14,177
6/27/14,178
6/28/14,179
6/29/14,180
6/30/14,181
7/1/14,182
7/2/14,183
7/3/14,184
7/4/14,185
7/5/14,186
7/6/14,187
7/7/14,188
7/8/14,189
7/9/14,190
7/10/14,191
7/11/14,192
7/12/14,193
7/13/14,194
7/14/14,195
7/15/14,196
7/16/14,197
7/17/14,198
7/18/14,199
7/19/14,200
7/20/14,201
7/21/14,202
7/22/14,203
7/23/14,204
7/24/14,205
7/25/14,206
7/26/14,207
7/27/14,208
7/28/14,209
7/29/14,210
7/30/14,211
7/31/14,212
8/1/14,213
8/2/14,214
8/3/14,215
8/4/14,216
8/5/14,217
8/6/14,218
8/7/14,219
8/8/14,220
8/9/14,221
8/10/14,222
8/11/14,223
8/12/14,224
8/13/14,225
8/14/14,226
8/15/14,227
8/16/14,228
8/17/14,229
8/18/14,230
8/19/14,231
8/20/14,232
8/21/14,233
8/22/14,234
8/23/14,235
8/24/14,236
8/25/14,237
8/26/14,238
8/27/14,239
8/28/14,240
8/29/14,241
8/30/14,242
8/31/14,243
9/1/14,244
9/2/14,245
9/3/14,246
9/4/14,247
9/5/14,248
9/6/14,249
9/7/14,250
9/8/14,251
9/9/14,252
9/10/14,253
9/11/14,254
9/12/14,255
9/13/14,256
9/14/14,257
9/15/14,258
9/16/14,259
9/17/14,260
9/18/14,261
9/19/14,262
9/20/14,263
9/21/14,264
9/22/14,265
9/23/14,266
9/24/14,267
9/25/14,268
9/26/14,269
9/27/14,270
9/28/14,271
9/29/14,272
9/30/14,273
10/1/14,274
10/2/14,275
10/3/14,276
10/4/14,277
10/5/14,278
10/6/14,279
10/7/14,280
10/8/14,281
10/9/14,282
10/10/14,283
10/11/14,284
10/12/14,285
10/13/14,286
10/14/14,287
10/15/14,288
10/16/14,289
10/17/14,290
10/18/14,291
10/19/14,292
10/20/14,293
10/21/14,294
10/22/14,295
10/23/14,296
10/24/14,297
10/25/14,298
10/26/14,299
10/27/14,300
10/28/14,301
10/29/14,302
10/30/14,303
10/31/14,304
11/1/14,305
11/2/14,306
11/3/14,307
11/4/14,308
11/5/14,309
11/6/14,310
11/7/14,311
11/8/14,312
11/9/14,313
11/10/14,314
11/11/14,315
11/12/14,316
11/13/14,317
11/14/14,318
11/15/14,319
11/16/14,320
11/17/14,321
11/18/14,322
11/19/14,323
11/20/14,324
11/21/14,325
11/22/14,326
11/23/14,327
11/24/14,328
11/25/14,329
11/26/14,330
11/27/14,331
11/28/14,332
11/29/14,333
11/30/14,334
12/1/14,335
12/2/14,336
12/3/14,337
12/4/14,338
12/5/14,339
12/6/14,340
12/7/14,341
12/8/14,342
12/9/14,343
12/10/14,344
12/11/14,345
12/12/14,346
12/13/14,347
12/14/14,348
12/15/14,349
12/16/14,350
12/17/14,351
12/18/14,352
12/19/14,353
12/20/14,354
12/21/14,355
12/22/14,356
12/23/14,357
12/24/14,358
12/25/14,359
12/26/14,360
12/27/14,361
12/28/14,362
12/29/14,363
12/30/14,364
12/31/14,365
